,Station,Air Quality,O3 Quality,O3 µg/m3,NO2 Quality,NO2 µg/m3,PM10 Quality,PM10 µg/m3,Date Time,Generated Date,Generated Time,Week Day
106,Gràcia,Good,Good,46.0,Good,21.0,,,1541073903,01/11/18,13:00,Thursday
107,Ciutadella,Good,Good,41.0,Good,16.0,,,1541073903,01/11/18,13:00,Thursday
108,Vall Hebron,Good,Good,47.0,Good,15.0,,,1541073903,01/11/18,13:00,Thursday
109,Palau Reial,Good,Good,44.0,Good,5.0,Good,11.0,1541073903,01/11/18,13:00,Thursday
110,Poblenou,Good,,,Good,20.0,Good,14.0,1541073903,01/11/18,13:00,Thursday
111,Observ Fabra,Good,Good,62.0,Good,5.0,Good,6.0,1541073903,01/11/18,13:00,Thursday
112,Sants,Good,,,Good,9.0,,,1541077503,01/11/18,14:00,Thursday
113,Eixample,Good,Good,38.0,Good,26.0,Good,17.0,1541077503,01/11/18,14:00,Thursday
114,Gràcia,Good,Good,54.0,Good,14.0,,,1541077503,01/11/18,14:00,Thursday
115,Ciutadella,Good,Good,53.0,Good,11.0,,,1541077503,01/11/18,14:00,Thursday
116,Vall Hebron,Good,Good,62.0,Good,10.0,,,1541077503,01/11/18,14:00,Thursday
117,Palau Reial,Good,Good,54.0,Good,1.0,Good,10.0,1541077503,01/11/18,14:00,Thursday
118,Poblenou,Good,,,Good,14.0,Good,14.0,1541077503,01/11/18,14:00,Thursday
119,Observ Fabra,Good,Good,69.0,Good,3.0,Good,6.0,1541077503,01/11/18,14:00,Thursday
120,Sants,Good,,,Good,10.0,,,1541081103,01/11/18,15:00,Thursday
121,Eixample,Good,Good,39.0,Good,33.0,Good,16.0,1541081103,01/11/18,15:00,Thursday
122,Gràcia,Good,Good,54.0,Good,14.0,,,1541081103,01/11/18,15:00,Thursday
123,Ciutadella,Good,Good,58.0,Good,10.0,,,1541081103,01/11/18,15:00,Thursday
124,Vall Hebron,Good,Good,63.0,Good,9.0,,,1541081103,01/11/18,15:00,Thursday
125,Palau Reial,Good,Good,54.0,Good,2.0,Good,10.0,1541081103,01/11/18,15:00,Thursday
126,Poblenou,Good,,,Good,17.0,Good,11.0,1541081103,01/11/18,15:00,Thursday
127,Observ Fabra,Good,Good,69.0,Good,4.0,Good,6.0,1541081103,01/11/18,15:00,Thursday
128,Sants,Good,,,Good,9.0,,,1541084703,01/11/18,16:00,Thursday
129,Eixample,Good,Good,39.0,Good,31.0,Good,16.0,1541084703,01/11/18,16:00,Thursday
130,Gràcia,Good,Good,55.0,Good,12.0,,,1541084703,01/11/18,16:00,Thursday
131,Ciutadella,Good,Good,61.0,Good,11.0,,,1541084703,01/11/18,16:00,Thursday
132,Vall Hebron,Good,Good,63.0,Good,8.0,,,1541084703,01/11/18,16:00,Thursday
133,Palau Reial,Good,Good,56.0,Good,2.0,Good,10.0,1541084703,01/11/18,16:00,Thursday
134,Poblenou,Good,,,Good,14.0,Good,10.0,1541084703,01/11/18,16:00,Thursday
135,Observ Fabra,Good,Good,69.0,Good,4.0,Good,6.0,1541084703,01/11/18,16:00,Thursday
136,Sants,Good,,,Good,9.0,,,1541088303,01/11/18,17:00,Thursday
137,Eixample,Good,Good,39.0,Good,33.0,Good,15.0,1541088303,01/11/18,17:00,Thursday
138,Gràcia,Good,Good,51.0,Good,16.0,,,1541088303,01/11/18,17:00,Thursday
139,Ciutadella,Good,Good,58.0,Good,10.0,,,1541088303,01/11/18,17:00,Thursday
140,Vall Hebron,Good,Good,62.0,Good,9.0,,,1541088303,01/11/18,17:00,Thursday
